"CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
"0023035030","0068","2008 Sep 16 04:00:00 AM","22,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2013 Mar 22 10:00:00 PM","24,8","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2007 Oct 23 10:00:00 PM","27,1","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2010 Dec 10 05:00:00 PM","31","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2015 Feb 13 07:00:00 AM","24,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2011 Feb 09 05:00:00 AM","22,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2012 Aug 11 11:00:00 AM","31,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2016 Dec 18 08:00:00 AM","27,9","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2010 Apr 17 09:00:00 PM","26","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2010 Dec 18 12:00:00 PM","30,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2005 Nov 16 11:00:00 PM","25,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2018 Oct 25 05:00:00 PM","29,3","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2013 Aug 22 03:00:00 PM","32,8","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2015 Mar 16 07:00:00 AM","23,2","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2006 Oct 07 05:00:00 AM","25,6","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2013 Mar 21 02:00:00 PM","29,5","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
"0023035030","0068","2016 Jun 12 04:00:00 PM","37,4","BASE PALANQUERO  - AUT","CUNDINAMARCA","PUERTO SALGAR","MEDIO MAGDALENA","5,492861111","-74,658","Temp Aire 2 m","°C"
